Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Mushtaq, S., Alandjani, G., Abbasi, S.F., Abosaq, N., Akram, A., Pervez, S.","57210262101;6505747166;57210255854;35175513100;12790854600;12790818900;","Hybrid geo-location routing protocol for indoor and outdoor positioning applications",2019,"International Journal of Advanced Computer Science and Applications","10","7",,"1","7",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070072159&partnerID=40&md5=7590098b993c230d8028363935eff9d8",Article,"Final",,Scopus,2-s2.0-85070072159
"Risso, C.","55537135300;","Benefits of demands control in a smart-grid to compensate the volatility of non-conventional energies",2019,"Revista Facultad de Ingenieria",,"93",,"19","31",,,"10.17533/10.17533/udea.redin.20190404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071440954&doi=10.17533%2f10.17533%2fudea.redin.20190404&partnerID=40&md5=ca15fec4f0f57e3ff810d28982dc3932",Article,"Final",Open Access,Scopus,2-s2.0-85071440954
"Yu, H., Peng, Z.-R.","57194762387;7401791063;","The impacts of built environment on ridesourcing demand: A neighbourhood level analysis in Austin, Texas",2019,"Urban Studies",,,,"","",,,"10.1177/0042098019828180","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071468034&doi=10.1177%2f0042098019828180&partnerID=40&md5=7668ee96095ca4f8d9c9aa924394d474",Article,"Article in Press",,Scopus,2-s2.0-85071468034
"Gams, M., Gu, I.Y.-H., Härmä, A., Muñoz, A., Tam, V.","35617835400;36724563600;6701367190;23397924600;7005091988;","Artificial intelligence and ambient intelligence",2019,"Journal of Ambient Intelligence and Smart Environments","11","1",,"71","86",,4,"10.3233/AIS-180508","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060937362&doi=10.3233%2fAIS-180508&partnerID=40&md5=5c38420c5f6f8618c59d9b873408ff61",Article,"Final",Open Access,Scopus,2-s2.0-85060937362
"Jin, L., Yan, C.","57207212096;57206606815;","Research on key technologies of massive videos management under the background of cloud platform",2019,"Journal of Advanced Computational Intelligence and Intelligent Informatics","23","1",,"72","77",,,"10.20965/jaciii.2019.p0072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060843472&doi=10.20965%2fjaciii.2019.p0072&partnerID=40&md5=9d7b0f079c1d34859b92bee2c31a9ef0",Article,"Final",,Scopus,2-s2.0-85060843472
"Benabbou, R., Lee, H.","57211473714;57211545347;","Exploring the evolution of urban emotions in the City of Seoul using social media information",2019,"International Journal of Knowledge-Based Development","10","3",,"232","248",,,"10.1504/IJKBD.2019.103208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074073068&doi=10.1504%2fIJKBD.2019.103208&partnerID=40&md5=877d5651924f8d7eb745b607dc7fcee8",Article,"Final",,Scopus,2-s2.0-85074073068
"Malheiro, B., Silva, M.F., Ferreira, P., Guedes, P.","6505813794;55934287000;56757712600;56027782200;","Learning engineering with EPS@ISEP developing projects for smart sustainable cities",2019,"International Journal of Engineering Pedagogy","9","4",,"33","49",,1,"10.3991/ijep.v9i4.10259","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071730669&doi=10.3991%2fijep.v9i4.10259&partnerID=40&md5=7cabe4ab36c310b5d9a812aa687335e5",Article,"Final",Open Access,Scopus,2-s2.0-85071730669
"Li, L., Deaville, P., Sapio, A., Anttila, L., Valkama, M., Wolf, M., Bhattacharyya, S.S.","57190034621;57210357797;35791259900;8918812900;6603051439;35996182000;7402155969;","MADS: A Framework for Design and Implementation of Adaptive Digital Predistortion Systems",2019,"IEEE Journal on Emerging and Selected Topics in Circuits and Systems",,,,"","",,,"10.1109/JETCAS.2019.2952145","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074841387&doi=10.1109%2fJETCAS.2019.2952145&partnerID=40&md5=3503b9692a050f03d01d2de3dd443e61",Article,"Article in Press",,Scopus,2-s2.0-85074841387
"Shi, J., Liu, S., Zhang, L., Yang, B., Shu, L., Yang, Y., Ren, M., Wang, Y., Chen, J., Chen, W., Chai, Y., Tao, X.","56416786500;36025512500;57200661753;57190877993;36099327600;57196443314;57209746430;57202788176;57198359024;57030892100;36016301200;7202692140;","Smart Textile-Integrated Microelectronic Systems for Wearable Applications",2019,"Advanced Materials",,, 1901958,"","",,4,"10.1002/adma.201901958","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068618543&doi=10.1002%2fadma.201901958&partnerID=40&md5=ec422919dd8e4616847764c550d2d106",Review,"Article in Press",,Scopus,2-s2.0-85068618543
"Zaguia, A., Alroobaea, R.","41662526200;56004657600;","Ontological model to predict user mobility",2019,"International Journal of Advanced Computer Science and Applications","10","2",,"407","413",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063573202&partnerID=40&md5=14d429e38482d66476cc6f0884fe45e7",Article,"Final",,Scopus,2-s2.0-85063573202
"Zhao, C., Dong, M., Ota, K., Li, J., Wu, J.","57208727016;25822274100;23467341400;56103299700;56190095000;","Edge-MapReduce-Based Intelligent Information-Centric IoV: Cognitive Route Planning",2019,"IEEE Access","7",, 8691761,"50549","50560",,3,"10.1109/ACCESS.2019.2911343","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065073268&doi=10.1109%2fACCESS.2019.2911343&partnerID=40&md5=c5f4eef262be927e0e924b864a53eab9",Article,"Final",Open Access,Scopus,2-s2.0-85065073268
"Bernal, E.F., del Rey, A.M.","57210169796;56264675400;","Study of the structural and robustness characteristics of madrid metro network",2019,"Sustainability (Switzerland)","11","12", 3486,"","",,,"10.3390/su10023486","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069756856&doi=10.3390%2fsu10023486&partnerID=40&md5=9ab83912314b83f30b2cb4aa86707f09",Article,"Final",,Scopus,2-s2.0-85069756856
"Papanikolaou, D.","55800564200;","To Share or Not? A Critical View on Personal Mobility",2019,"Architecture and Culture",,,,"","",,,"10.1080/20507828.2019.1653030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074725152&doi=10.1080%2f20507828.2019.1653030&partnerID=40&md5=17a558089a1483a2029460b89a2fbb11",Article,"Article in Press",,Scopus,2-s2.0-85074725152
"Wang, S.","57210107031;","Smart data mining algorithm for intelligent education",2019,"Journal of Intelligent and Fuzzy Systems","37","1",,"9","16",,,"10.3233/JIFS-179058","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069537907&doi=10.3233%2fJIFS-179058&partnerID=40&md5=1f9fbe1c7969cc2426901d2a738b1938",Article,"Final",,Scopus,2-s2.0-85069537907
"Al-Turjman, F., Mostarda, L., Ever, E., Darwish, A., Shekh Khalil, N.","20336944100;8935043100;15022220400;57207725275;57206720129;","Network experience scheduling and routing approach for big data transmission in the internet of things",2019,"IEEE Access","7",, 8624288,"14501","14512",,4,"10.1109/ACCESS.2019.2893501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061935528&doi=10.1109%2fACCESS.2019.2893501&partnerID=40&md5=ef94633d52440a700ecfacc9b4a8156d",Article,"Final",Open Access,Scopus,2-s2.0-85061935528
"Sherif, A., Sherif, S., Ooi, C.P., Tan, W.H.","57212143143;57212136426;24179281300;7401960067;","A Lora-Driven home security system for a residential community in a retirement township",2019,"International Journal of Technology","10","7",,"1297","1306",,,"10.14716/ijtech.v10i7.3257","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076055448&doi=10.14716%2fijtech.v10i7.3257&partnerID=40&md5=4196931cb2ef2a2f9a66be1b6cb9a1d4",Article,"Final",Open Access,Scopus,2-s2.0-85076055448
"Kaur, T., Kumar, D.","57189225950;55465085800;","A survey on QoS mechanisms in WSN for computational intelligence based routing protocols",2019,"Wireless Networks",,,,"","",,,"10.1007/s11276-019-01978-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063064346&doi=10.1007%2fs11276-019-01978-9&partnerID=40&md5=4731c17e9df27c1d714a777f729dac52",Article,"Article in Press",,Scopus,2-s2.0-85063064346
"Liu, X., Wei, X., Guo, L., Liu, Y., Song, Q., Jamalipour, A.","57193653684;16204379000;57208156960;36731248500;8852647200;7003564684;","Turning the Signal Interference into Benefits: Towards Indoor Self-Powered Visible Light Communication for IoT Devices in Industrial Radio-Hostile Environments",2019,"IEEE Access","7",, 8648412,"24978","24989",,,"10.1109/ACCESS.2019.2900696","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062706939&doi=10.1109%2fACCESS.2019.2900696&partnerID=40&md5=f2f82049c7faae412827abe77479b62b",Article,"Final",Open Access,Scopus,2-s2.0-85062706939
"ur Rehman, Z., Fatima, M., Khan, A., Shah, S., Wasim Ahmad, R., Din, A., Rehaman, A.","55619949300;57212018247;56330465600;57211784094;57212017310;57188802598;57212026468;","Energy optimization in a smart community grid system using genetic algorithm",2019,"International Journal of Communication Systems",,, e4265,"","",,,"10.1002/dac.4265","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075738371&doi=10.1002%2fdac.4265&partnerID=40&md5=ec68eabf751c1cfee57b1af7dc6e759d",Article,"Article in Press",,Scopus,2-s2.0-85075738371
"Wong, J.S.","57204634972;","Driverless Government: Speculation, Citizenship and Collective Civic Intelligence",2019,"Architecture and Culture",,,,"","",,,"10.1080/20507828.2019.1647960","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075453688&doi=10.1080%2f20507828.2019.1647960&partnerID=40&md5=235a3171e8392a6eb96ba48445b12ee1",Article,"Article in Press",,Scopus,2-s2.0-85075453688
"Kong, X., Xia, F., Fu, Z., Yan, X., Tolba, A., Almakhadmeh, Z.","57201581898;57201640685;57209458626;57209461291;56442428300;57209456370;","TBI2Flow: Travel behavioral inertia based long-term taxi passenger flow prediction",2019,"World Wide Web",,,,"","",,,"10.1007/s11280-019-00700-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067800255&doi=10.1007%2fs11280-019-00700-1&partnerID=40&md5=0f384b54569bee001979062f4fc964cc",Article,"Article in Press",,Scopus,2-s2.0-85067800255
"Carraro, V.","57201452393;","Grounding the digital: a comparison of Waze ‘avoid dangerous areas’ feature in Jerusalem, Rio de Janeiro and the US",2019,"GeoJournal",,,,"","",,,"10.1007/s10708-019-10117-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075988249&doi=10.1007%2fs10708-019-10117-y&partnerID=40&md5=8e123c97f65180218d3647ac2860c669",Article,"Article in Press",,Scopus,2-s2.0-85075988249
"Nayyer, M.Z., Raza, I., Hussain, S.A.","57205755354;23052267300;55747386900;","A survey of cloudlet-based mobile augmentation approaches for resource optimization",2019,"ACM Computing Surveys","51","5", 107,"","",,2,"10.1145/3241738","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061453179&doi=10.1145%2f3241738&partnerID=40&md5=abd92d2cfd4a4265747ca639cc57baac",Review,"Final",,Scopus,2-s2.0-85061453179
"Deng, L.","35236517500;","Anonymous certificateless multi-receiver encryption scheme for smart community management systems",2019,"Soft Computing",,,,"","",,,"10.1007/s00500-019-04375-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073976355&doi=10.1007%2fs00500-019-04375-8&partnerID=40&md5=ac237387261ca19d7ccc10440d7a9b5f",Article,"Article in Press",,Scopus,2-s2.0-85073976355
"Faisal, A., Yigitcanlar, T., Kamruzzaman, M., Currie, G.","57208243059;6505536041;36811326000;16743449800;","Understanding autonomous vehicles: A systematic literature review on capability, impact, planning and policy",2019,"Journal of Transport and Land Use","12","1",,"45","72",,9,"10.5198/jtlu.2019.1405","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064232467&doi=10.5198%2fjtlu.2019.1405&partnerID=40&md5=8ef2ab47af1210c996ff53315b04622d",Article,"Final",Open Access,Scopus,2-s2.0-85064232467
"Wang, W.","57211541322;","A Study of Digitally Enhanced People–Space Interaction: A Place-Centric Perspective",2019,"Space and Culture",,,,"","",,,"10.1177/1206331219881352","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074357624&doi=10.1177%2f1206331219881352&partnerID=40&md5=024256ae640008897e93bd82e39dca7f",Article,"Article in Press",,Scopus,2-s2.0-85074357624
"Pardini, K., Rodrigues, J.J.P.C., Kozlov, S.A., Kumar, N., Furtado, V.","57205555094;25930566300;7103166835;57206866080;57195543335;","IoT-based solid waste management solutions: A survey",2019,"Journal of Sensor and Actuator Networks","8","1", 5,"","",,4,"10.3390/jsan8010005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060533468&doi=10.3390%2fjsan8010005&partnerID=40&md5=f924ddeaf9a2ffcea8034033fe9b2c4f",Review,"Final",Open Access,Scopus,2-s2.0-85060533468
"Baqer, M., Balbis, L.","35752780400;24172485400;","Sampling sensor nodes to extend the longevity of wireless sensor networks",2019,"International Journal of Sensors, Wireless Communications and Control","9","1",,"53","63",,,"10.2174/2210327908666180727125534","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066009900&doi=10.2174%2f2210327908666180727125534&partnerID=40&md5=9f1fe1a00a693b9220af911313a1c370",Article,"Final",,Scopus,2-s2.0-85066009900
"Danfeng, Y., Jing, W.","35118656600;55546532300;","Subway Passenger Flow Forecasting with Multi-Station and External Factors",2019,"IEEE Access","7",, 8703733,"57415","57423",,,"10.1109/ACCESS.2019.2914239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065877707&doi=10.1109%2fACCESS.2019.2914239&partnerID=40&md5=62e46d9f1194619fb5f19040d1280e29",Article,"Final",Open Access,Scopus,2-s2.0-85065877707
